Departamento,Capital,Tiempo vuelo (horas)
Amazonas,Chachapoyas,1.5
Áncash,Huaraz,1.0
Apurímac,Abancay,1.25
Arequipa,Arequipa,1.25
Ayacucho,Ayacucho,1.0
Cajamarca,Cajamarca,1.5
Cusco,Cusco,1.25
Huancavelica,Huancavelica,1.0
Huánuco,Huánuco,1.0
Ica,Ica,0.75
Junín,Huancayo,0.75
La Libertad,Trujillo,1.0
Lambayeque,Chiclayo,1.5
Lima,Lima,0.0
Loreto,Iquitos,1.75
Madre de Dios,Puerto Maldonado,1.5
Moquegua,Moquegua,1.5
Pasco,Cerro de Pasco,1.25
Piura,Piura,1.75
Puno,Puno,2.0
San Martín,Moyobamba,1.25
Tacna,Tacna,1.75
Tumbes,Tumbes,1.75
Ucayali,Pucallpa,1.5
